identificativo_calciatore,nome_calciatore,squadra_calciatore,posizione_media_x,posizione_media_y,distanza_quadratica_media,tempo_medio_tra_eventi
3309,R. Varane,France,30.865853658536587,63.0,1737.1624033313503,152.83291273796792
3476,I. Rakitić,Croatia,58.30373831775701,32.742990654205606,2209.5089527469645,56.404163006892695
3682,A. Griezmann,France,57.96923076923077,41.59230769230769,2738.5656804733726,125.96827563265305
7936,P. Pogba,France,44.371212121212125,61.81818181818182,2507.2573461891643,100.90242692727273
8200,S. N'Zonzi,France,,,2017.88,121.21883457894738
8287,L. Modrić,Croatia,58.431372549019606,70.25980392156863,1611.5446943483275,56.760865869547814
14812,I. Perišić,Croatia,67.43661971830986,45.429577464788736,3455.9484229319587,83.73107973076924
14943,M. Mandžukić,Croatia,66.65873015873017,58.888888888888886,2251.700680272109,92.22044232741936
25381,H. Lloris,France,27.773809523809526,40.44047619047619,1754.3435374149658,146.46085233333332
25393,D. Lovren,Croatia,43.98795180722892,65.43373493975903,1903.3517201335462,69.10301205171359
25397,S. Umtiti,France,29.453488372093023,33.76744186046512,1629.215792320173,140.90533153846155
25437,B. Matuidi,France,41.55434782608695,20.76086956521739,1485.009924385633,95.1513406136842
26010,O. Giroud,France,61.1328125,51.359375,2437.983154296875,76.14812753225806
28115,,France,,,1521.7244444444443,43.20611485714289
31528,,France,34.714285714285715,29.607142857142858,2057.729591836735,89.09848200724635
69396,D. Vida,Croatia,39.6953125,37.15625,1734.045654296875,92.15588595063025
69409,Š. Vrsaljko,Croatia,52.113861386138616,80.7871287128713,1499.0812665424958,61.37100733064516
69411,A. Kramarić,Croatia,,,1227.1326530612246,85.00826107692305
69616,A. Rebić,Croatia,63.416666666666664,57.177083333333336,3691.8598090277783,88.31233979532163
69968,M. Brozović,Croatia,46.03030303030303,47.88636363636363,2028.3702938475667,47.413160309451214
105361,I. Strinić,Croatia,55.183673469387756,15.673469387755102,1942.655560183257,102.72075838677537
135747,D. Subašić,Croatia,37.82608695652174,66.82608695652173,3208.4688090737236,268.2260989818182
135810,M. Pjaca,Croatia,,,1143.8125,117.93781066666664
209091,C. Tolisso,France,,,1326.909090909091,118.13513569999995
279545,L. Hernández,France,42.07017543859649,15.368421052631579,1608.5743305632502,96.78234401
340646,B. Pavard,France,37.71296296296296,81.49074074074075,1892.9320987654323,109.42039398962963
353833,K. Mbappé,France,59.214285714285715,76.8061224489796,2394.111620158267,120.6619317164855
